pid7,coef,lower95,upper95,model
0,4.090736483034791,3.417878035579453,4.890199440698802,Linear
0.05,4.248970833373558,3.5998771266771907,5.00676593769652,Linear
0.1,4.412123550575463,3.7815487430419807,5.128570943488158,Linear
0.15000000000000002,4.580347511260207,3.970752056988097,5.266433291557195,Linear
0.2,4.753800343881081,4.168929604957287,5.40438448460746,Linear
0.25,4.932644576425255,4.361308682688529,5.561247852186304,Linear
0.30000000000000004,5.117047788705028,4.551710781162849,5.73930624442277,Linear
0.35000000000000003,5.307182769382697,4.733024043037731,5.933372349750178,Linear
0.4,5.503227677876206,4.912252122312833,6.146892029221941,Linear
0.45,5.7053662112972825,5.085139806506869,6.37938496583158,Linear
0.5,5.913787776578465,5.240737253372403,6.641788548541839,Linear
0.55,6.128687667950335,5.393453905986454,6.939822423598787,Linear
0.6000000000000001,6.350267249935229,5.548239607592374,7.247057151878188,Linear
0.65,6.578734146028905,5.69222460252228,7.569596135643845,Linear
0.7000000000000001,6.8143024332469855,5.823956221678635,7.923921022642942,Linear
0.75,7.057192842718418,5.967285487240286,8.29677232774632,Linear
0.8,7.307632966513957,6.105188316069492,8.666511933418938,Linear
0.8500000000000001,7.565857470903463,6.2513943183739284,9.056679951021573,Linear
0.9,7.832108316241831,6.401163386504751,9.50095846671139,Linear
0.9500000000000001,8.106634983689563,6.527326007229722,9.962033209068005,Linear
1,8.389694708980501,6.674386182272567,10.439800949914417,Linear
0,4.513473334265664,3.6809251491535067,5.463413132585576,Quadratic
0.05,4.44084242562601,3.73729899993418,5.217236824611719,Quadratic
0.1,4.396490757851987,3.759631984362696,5.097778107335081,Quadratic
0.15000000000000002,4.379738258522839,3.7588030151934184,5.0637051384544955,Quadratic
0.2,4.390329016153542,3.7325212696410155,5.102684195589871,Quadratic
0.25,4.428424753622685,3.727356976472292,5.203614337965987,Quadratic
0.30000000000000004,4.494608951054152,3.7351552102868135,5.338782803643823,Quadratic
0.35000000000000003,4.589901765551906,3.7701666397607942,5.499008276347797,Quadratic
0.4,4.715786282797372,3.84916660434562,5.688452075015139,Quadratic
0.45,4.874247047837704,3.9733267519029614,5.883911580900161,Quadratic
0.5,5.0678222787387455,4.143080223680404,6.11874259407153,Quadratic
0.55,5.299671688972746,4.344924609417761,6.394391627762986,Quadratic
0.6000000000000001,5.573662458062993,4.604247035811851,6.680832021072181,Quadratic
0.65,5.89447662603644,4.9084041871648285,7.0234767510417875,Quadratic
0.7000000000000001,6.267744083777282,5.257752609914166,7.434661919816913,Quadratic
0.75,6.7002064361825795,5.640976538254525,7.914215143755609,Quadratic
0.8,7.199918388551209,6.044927510258105,8.522868874345018,Quadratic
0.8500000000000001,7.776495026045817,6.462881593830476,9.32021444535258,Quadratic
0.9,8.441415520436792,6.868631987261233,10.358001435048925,Quadratic
0.9500000000000001,9.208396535538938,7.255555567525427,11.658941282433569,Quadratic
1,10.093852078503778,7.629471494349843,13.29061622598373,Quadratic
0,143.36326772456792,65.17447246024784,261.7718085794989,Poisson Linear
0.05,159.86950844170318,76.51383672474468,283.30487857924356,Poisson Linear
0.1,178.40951278013978,90.2765386033697,308.2232683587096,Poisson Linear
0.15000000000000002,199.24877505707718,105.65292756773829,333.16610271731605,Poisson Linear
0.2,222.68925768769242,123.7573567240691,362.7029219716032,Poisson Linear
0.25,249.07463524993,143.80509490825628,392.790878040359,Poisson Linear
0.30000000000000004,278.79632488573327,166.95850382513356,427.9878367886142,Poisson Linear
0.35000000000000003,312.3004255980483,194.47032313239825,467.7633837683589,Poisson Linear
0.4,350.09570880525837,225.30394484448675,510.5888122805578,Poisson Linear
0.45,392.7628256261294,260.63888681419917,562.7990514522929,Poisson Linear
0.5,440.96492335961307,301.6601668842385,619.5433017102761,Poisson Linear
0.55,495.459895167093,346.67420169945365,686.1681684909807,Poisson Linear
0.6000000000000001,557.1145238519815,396.1867325419487,762.6427467235175,Poisson Linear
0.65,626.9208237970078,449.0865565125569,853.7379277341845,Poisson Linear
0.7000000000000001,706.0149356652483,505.48404667904833,961.1700265795487,Poisson Linear
0.75,795.698987698298,566.055234962359,1087.0351426651794,Poisson Linear
0.8,897.466406891573,630.0473501365144,1242.2511492659728,Poisson Linear
0.8500000000000001,1013.0312448104484,698.4136339374827,1433.7926502661596,Poisson Linear
0.9,1144.3621784824677,769.3225859647795,1658.985203553149,Poisson Linear
0.9500000000000001,1293.7219592063025,845.3113333034896,1903.6707292801157,Poisson Linear
1,1463.7132142736175,922.3955465356097,2206.7935382320206,Poisson Linear
0,198.3174851481879,82.43863152612171,386.5648449302991,Poisson Quadratic
0.05,194.4391707634869,92.21106887736487,349.2796049763419,Poisson Quadratic
0.1,194.74820347859045,101.51715083221782,330.5456408717894,Poisson Quadratic
0.15000000000000002,198.77235949344683,109.35270941151397,323.8963525024723,Poisson Quadratic
0.2,206.28902711962178,115.66953000059438,330.1589525408942,Poisson Quadratic
0.25,217.26917617652796,121.76441614144362,351.4775592095443,Poisson Quadratic
0.30000000000000004,231.84918247954582,127.28216050414727,378.00769546750394,Poisson Quadratic
0.35000000000000003,250.3230873984557,134.59037606848696,412.9434211518713,Poisson Quadratic
0.4,273.15216071953034,143.5856108303259,457.93243803394193,Poisson Quadratic
0.45,300.9917217956593,155.97577215906665,511.77674737025086,Poisson Quadratic
0.5,334.73790287907246,174.03870529765757,572.2213493037975,Poisson Quadratic
0.55,375.6000666484889,196.8656342571281,639.1017609685889,Poisson Quadratic
0.6000000000000001,425.2086051546195,226.75200454783416,716.759979117006,Poisson Quadratic
0.65,485.77377635314616,266.6379681118234,800.6261687532428,Poisson Quadratic
0.7000000000000001,560.320522662196,323.1679957533873,895.0709655623612,Poisson Quadratic
0.75,653.0392901885693,392.57282414957893,1008.2698405898934,Poisson Quadratic
0.8,769.8179691756494,490.49147430070866,1145.4354776752593,Poisson Quadratic
0.8500000000000001,919.0628359550693,614.3719366117525,1329.2711331333765,Poisson Quadratic
0.9,1112.9908676845298,755.7274902008259,1583.1144682030506,Poisson Quadratic
0.9500000000000001,1369.708626128063,901.8562359747378,1982.9972638286654,Poisson Quadratic
1,1716.6356334716031,1048.6534837311285,2631.345962598832,Poisson Quadratic
