date,type,average,value
2016-10-25,Politicians,Median,1
2016-10-26,Politicians,Mean,32.09771181199753
2016-10-26,Politicians,Median,2
2016-10-27,Politicians,Mean,38.08719851576994
2016-10-27,Politicians,Median,2
2016-10-28,Politicians,Mean,36.691403834260974
2016-10-28,Politicians,Median,1
2016-10-29,Politicians,Mean,23.75139146567718
2016-10-29,Politicians,Median,1
2016-10-30,Politicians,Mean,25.07792207792208
2016-10-30,Politicians,Median,1
2016-10-31,Politicians,Mean,31.499690785405072
2016-10-31,Politicians,Median,1
2016-11-01,Politicians,Mean,38.43846629560915
2016-11-01,Politicians,Median,1
2016-11-02,Politicians,Mean,37.62152133580705
2016-11-02,Politicians,Median,2
2016-11-03,Politicians,Mean,41.67408781694496
2016-11-03,Politicians,Median,2
2016-11-04,Politicians,Mean,37.79468150896722
2016-11-04,Politicians,Median,3
2016-11-05,Politicians,Mean,33.20655534941249
2016-11-05,Politicians,Median,3
2016-11-06,Politicians,Mean,38.922077922077925
2016-11-06,Politicians,Median,3
2016-11-07,Politicians,Mean,45.13543599257885
2016-11-07,Politicians,Median,3
2016-11-08,Politicians,Mean,71.42857142857143
2016-11-08,Politicians,Median,6
2016-10-01,News media,Mean,42.936920222634505
2016-10-01,News media,Median,4
2016-10-02,News media,Mean,42.52442795299938
2016-10-02,News media,Median,4
2016-10-03,News media,Mean,65.16017316017316
2016-10-03,News media,Median,6
2016-10-04,News media,Mean,72.92517006802721
2016-10-04,News media,Median,7
2016-10-05,News media,Mean,128.51762523191096
2016-10-05,News media,Median,11
2016-10-06,News media,Mean,78.94310451453309
2016-10-06,News media,Median,8
2016-10-07,News media,Mean,75.69882498453927
2016-10-07,News media,Median,9
2016-10-08,News media,Mean,77.75881261595548
2016-10-08,News media,Median,9
2016-10-09,News media,Mean,64.65244279529993
2016-10-09,News media,Median,7
2016-10-10,News media,Mean,178.07792207792207
2016-10-10,News media,Median,24
2016-10-11,News media,Mean,89.91156462585035
2016-10-11,News media,Median,10
2016-10-12,News media,Mean,89.84168212739641
2016-10-12,News media,Median,9
2016-10-13,News media,Mean,107.2547928262214
2016-10-13,News media,Median,12
2016-10-14,News media,Mean,95.20531849103277
2016-10-14,News media,Median,10
